"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.10","psrf"
"v[25]",0.066067074938651,0.191491136074745,0.358642927857962,0.201487264882467,0.0776932478549243,NA,0.00115234196321789,1.5,4546,0.0113307032609957,1.00057686130331
"v[26]",0.00711965926580184,0.287242715066704,0.854441673234355,0.351391830307778,0.256948580589076,NA,0.00488702746786774,1.9,2764,0.00386771864890771,1.00016350593461
"v[27]",2.24168465134643,2.87757377000667,3.57624990642379,2.89564860364034,0.344812349673173,NA,0.00852874615805098,2.5,1635,0.116394738616001,1.00251208561076
"v[28]",0.753737250401064,1.07893468478388,1.45065489734497,1.08942945098485,0.17941690668542,NA,0.00360019325744967,2,2484,0.0695040579801959,1.00118059053406
"v[29]",2.44987553042202,3.49782854995799,4.59522192200257,3.52370062785971,0.552878669525659,NA,0.0116957969274806,2.1,2235,0.0574932806784143,1.00186506172192
"v[30]",1.39446774412234,1.92725499210123,2.52487926754066,1.94218791237829,0.290010815313271,NA,0.00573824193883709,2,2554,0.0733626458838827,1.00097875095474
"v[31]",0.288682397011422,0.532852718071296,0.828091627026972,0.546015588298996,0.142391845887509,NA,0.00216442969338913,1.5,4328,0.0216737648334732,1.00074493897491
"v[32]",0.80985344757062,1.16912603346335,1.59093971293059,1.1830511856993,0.198941224101134,NA,0.00391194113689504,2,2586,0.0459417195567338,1.00055957262227
"v[33]",0.673548655116337,0.996431772167181,1.39928512492933,1.00812056886767,0.186232593557569,NA,0.00293523577662702,1.6,4026,0.0369535445253467,1.00027603182471
"v[34]",0.271595335363711,0.483302107768927,0.735152319887006,0.492181079736567,0.120941877542229,NA,0.00170857758411979,1.4,5011,0.0266588962043074,1.00096210212189
"v[35]",0.391213545706979,0.667308363646971,0.978591772202665,0.676429782666337,0.152398886494693,NA,0.00279439539689425,1.8,2974,0.0225304129712401,0.999944395659283
"v[36]",0.729350372216294,1.09937155900005,1.48566644923572,1.11202445711053,0.194645879159693,NA,0.00357638094766091,1.8,2962,0.0574111925479728,1.00042341530335
"v[37]",1.27439606221044,1.70504999872517,2.21153573169051,1.71484736802297,0.237971630987275,NA,0.00559091960637424,2.3,1812,0.0955945986061025,1.00012858486355
"v[38]",1.12160262007326,1.5626499232678,2.00913204952058,1.57189888052634,0.227014077496405,NA,0.00466246581380059,2.1,2371,0.0561360810449074,1.00010966686386
"v[39]",0.0179364584481048,0.104407940866866,0.22857954186621,0.114165859070925,0.057452334210168,NA,0.000890153750712383,1.5,4166,-0.0111386863449163,1.00042264756829
"v[40]",0.0260520361249886,0.288954344526699,0.694734740320092,0.323040207568995,0.189160392499498,NA,0.00300609707063746,1.6,3960,-0.00482624163380741,1.00013297128883
"v[41]",0.292739561241097,0.493546871548341,0.744975329568455,0.504227374732854,0.117940531815229,NA,0.00206677174459914,1.8,3256,0.0409620430470634,1.00013847495196
"v[42]",0.123422001102184,0.290036448441007,0.508272720858502,0.302047910573741,0.102015623760808,NA,0.00155475270474927,1.5,4305,0.0207647352348526,1.00003923397032
"v[43]",0.310530055488901,0.658006991862397,1.09003863338488,0.678716991027713,0.20376933399672,NA,0.00309053590072954,1.5,4347,0.0148050949123592,1.00045870052014
"v[44]",0.544348775353672,1.06620006961274,1.67171238323528,1.09085973028787,0.296095161855472,NA,0.00424363592372315,1.4,4868,0.0173625068672667,1.00052483133684
"v[45]",0.0480575589029123,0.192990228161824,0.386388473042405,0.206802927745388,0.0936401519871372,NA,0.00154653644156307,1.7,3666,0.0310198443458329,1.00036586913104
"v[46]",0.683188920238316,1.05314252494594,1.484579552988,1.06803057679742,0.209906657882713,NA,0.00345263910750335,1.6,3696,0.0372314463184445,1.00070760584572
"v[47]",0.753304240618192,1.0606464531241,1.41848306523895,1.07028908493039,0.172877203288054,NA,0.00376284352875342,2.2,2111,0.0632988696607139,1.00074332864366
"v[48]",0.12378762538074,0.267611837005493,0.44473791510076,0.276543001287781,0.0845705212045612,NA,0.00116169801685949,1.4,5300,0.0111109918623992,1.00034777946733
"v[49]",0.31058669650433,0.812851995798241,1.45781837295207,0.851739643796468,0.313378635606355,NA,0.00471188864775833,1.5,4423,0.022329666326414,1.0001988630327
"v[50]",0.09659749217038,0.349782057845971,0.692521370078978,0.371983926807288,0.164804828665673,NA,0.00242542489657066,1.5,4617,0.00258362091701524,1.00081146702983
"v[51]",0.554309724324369,0.855229083857292,1.18033703540939,0.865783436161669,0.16216438085033,NA,0.00290765467167522,1.8,3110,0.038399983075746,1.00274872953414
"v[52]",1.0930447277792,1.49104813195584,1.92772761403637,1.50490818002864,0.21262796252857,NA,0.00500774834525284,2.4,1803,0.0690965236017435,1.00111412752559
"v[53]",0.370359237705763,0.795493835387842,1.29932389668505,0.817800433045216,0.247197249637062,NA,0.0035744884535219,1.4,4783,0.0208269676002673,1.00013972135992
"v[54]",1.27431721229116,1.69870367545525,2.1605251292628,1.70814062854711,0.228385233334154,NA,0.00546737034592832,2.4,1745,0.0948154217353438,1.00144357248638
"v[55]",0.00619002764891145,0.066754776765046,0.161052389070936,0.0747211930178657,0.0436386115992923,NA,0.000719424531197815,1.6,3679,0.00178737717092488,1.0002635768436
"v[56]",0.431525125569924,0.691600832327054,0.99489710698042,0.700247655748911,0.146504776823092,NA,0.00242261896958004,1.7,3657,0.0548588791506012,1.00227706252535
"v[57]",0.721035031807975,1.06577786824725,1.43498458992757,1.07428823108638,0.183688351637614,NA,0.00347646815909126,1.9,2792,0.0537146937581522,1.00255965669437
"v[58]",1.86320127400957,2.38170061934678,2.94866747637835,2.39850991054559,0.28050962222044,NA,0.00733471396382562,2.6,1463,0.125471186092471,1.00210096122327
"v[59]",0.092953626270181,0.241001299166713,0.41554249471765,0.251315186275652,0.085526155653335,NA,0.00116225397305712,1.4,5415,0.0106373567858486,1.00059396591735
"v[60]",1.60476857770526,2.11093864277754,2.6592563166216,2.12073092008362,0.270454853427962,NA,0.0064388166820253,2.4,1764,0.0947456651288577,1.00142318069788
"v[61]",1.1662938332149,1.59275652936384,2.05223381395142,1.60376879241288,0.229470882251544,NA,0.00512153625739938,2.2,2007,0.0840211887512825,1.0022372488162
"v[62]",0.201521415348788,0.623349965817172,1.20941533917578,0.660349251234869,0.272976318994239,NA,0.00389837848282974,1.4,4903,0.000645985177734136,1.00127883507783
"v[63]",0.422489485472604,0.712732822772553,1.01514781061405,0.724708218043559,0.154204360414746,NA,0.00292799512220036,1.9,2774,0.0564920913996193,1.00020808032014
"v[64]",0.763887249236238,1.07516858740666,1.46135855698471,1.08425122472561,0.17982472192407,NA,0.00348629685904088,1.9,2661,0.0437639522438768,1.00140517617445
"v[65]",0.501487297874149,0.79750378566593,1.16042822144523,0.810082597168539,0.168538947016514,NA,0.00271008365803486,1.6,3868,0.04713232884332,0.999963445592567
"v[66]",0.528209522583986,0.811950979465464,1.18202490375654,0.826838567133793,0.171247805283218,NA,0.00287753244943162,1.7,3542,0.0252950100673874,1.00081409998841
"v[67]",1.2404271513939,1.69795092190359,2.23753522664957,1.71384539517139,0.259423214018594,NA,0.00528474966593465,2,2410,0.0781784653159566,1.00013386564714
"v[68]",0.0298779412188998,0.128521967239623,0.259592834388949,0.138292461608145,0.0630701630722811,NA,0.000949701991453896,1.5,4410,0.0132306051210634,1.00036636429095
"v[69]",0.0703722248418011,0.199931811150645,0.373430239807667,0.210322941499482,0.0799332955348003,NA,0.00117368956681734,1.5,4638,0.00233175258375328,1.0003316166595
"v[70]",0.515397218796187,0.794802335190333,1.11965963513573,0.804492651352681,0.156135407560475,NA,0.0027608886743769,1.8,3198,0.0270876424101365,1.00037558695842
