"","Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC%ofSD","SSeff","AC.20","psrf"
"ll.e[68]",2.53173567181969,4.14323336499847,4.41257149389121,3.88202133409409,0.672146099072308,NA,0.00793123347955968,1.2,7182,0.0168799308233678,1.00079672326398
"ll.e[69]",1.1355962197352,2.68964531091253,3.00522498602125,2.44110590167011,0.645925357701053,NA,0.00755889256711552,1.2,7302,0.0212311888149913,0.999951596520873
"ll.e[70]",-11.1773064359562,-9.48548794014052,-9.14098224423939,-9.75332284992372,0.700674095898584,NA,0.00845395732528861,1.2,6869,-0.00333031524039933,1.00060695280381
"ll.e[71]",-8.87432052507913,-7.24915968018448,-6.97691916069325,-7.51452131651039,0.691872203488029,NA,0.0082300799190889,1.2,7067,-0.0106600631676472,1.00021028164042
"ll.e[72]",0.240454792947609,1.41081831784213,1.56571307562889,1.22348655953154,0.472248003615524,NA,0.00522666203973858,1.1,8164,-0.00952998270734336,1.00054069510534
"ll.e[73]",-8.60805752512155,-6.93591609038771,-6.70976335799313,-7.20862369605873,0.705951757563976,NA,0.00848485655968949,1.2,6922,-0.00758079192123594,1.00015093624151
"ll.e[74]",1.64562648669398,3.2053606245533,3.45093118426549,2.95442670678368,0.646921458868641,NA,0.0075598741677248,1.2,7323,0.0121354145140023,1.00151700999807
"ll.e[75]",7.31125618150603,8.95341426791213,9.22917108304441,8.697595577193,0.664145727286266,NA,0.00774105749496306,1.2,7361,0.00783656702140571,1.00210698344405
"ll.e[76]",29.0731476879329,30.6891100374002,30.9461657519584,30.4249175010073,0.674498284320516,NA,0.00764436261249552,1.1,7785,0.0184216519171948,1.00348420038997
"ll.e[77]",-5.09160479222011,-3.48148363401367,-3.26334893082203,-3.73850432918603,0.659198070515678,NA,0.00735292620180971,1.1,8037,-0.019534043066284,1.00077480785113
"ll.e[78]",61.9456455508941,63.6714768778082,63.9679365750527,63.3990591457936,0.720495536703113,NA,0.00808397754218565,1.1,7944,-0.00787438832079375,1.00151073722628
"ll.e[79]",8.88017099759408,10.4489669874112,10.6480602447837,10.1939847293175,0.648407351076296,NA,0.00748919640227004,1.2,7496,-0.0166887947635324,1.00008048119582
"ll.e[80]",-6.58864257458386,-5.01104970197605,-4.79976770755192,-5.27181842073181,0.683533511648403,NA,0.00824264261388859,1.2,6877,-0.00600847485280033,1.00182678650788
"ll.e[81]",-3.50908489931254,-1.91442527658053,-1.63282583354622,-2.17458742253464,0.669897816848902,NA,0.00790371449221255,1.2,7184,-0.00384392200127229,1.00007452238675
